listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
18 Eylül 2024,2017,133.500 km,Düz,Mavi (metalik),4 lt,Belirtilmemiş,Sahibinden,625.000 TL,No
18 Eylül 2024,2017,98.000 km,Yarı Otomatik,Mavi (metalik),"3,8 lt",Tamamı orjinal,Sahibinden,725.000 TL,No
18 Eylül 2024,2017,91.000 km,Yarı Otomatik,Kırmızı,"3,8 lt",2 boyalı,Sahibinden,736.000 TL,No
18 Eylül 2024,2017,139.000 km,Yarı Otomatik,Gri (metalik),"3,8 lt",Belirtilmemiş,Sahibinden,700.000 TL,No
18 Eylül 2024,2016,89.000 km,Yarı Otomatik,Kırmızı,"3,8 lt",Tamamı orjinal,Galeriden,740.000 TL,No
18 Eylül 2024,2017,69.970 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Sahibinden,765.000 TL,No
18 Eylül 2024,2016,205.000 km,Düz,Siyah,4 lt,1 boyalı,Sahibinden,630.000 TL,No
18 Eylül 2024,2014,157.000 km,Düz,Siyah,4 lt,1 boyalı,Sahibinden,630.000 TL,No
18 Eylül 2024,2017,133.000 km,Düz,Lacivert,4 lt,1 değişen,Sahibinden,658.000 TL,No
18 Eylül 2024,2015,123.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,610.000 TL,No
17 Eylül 2024,2015,161.000 km,Düz,Gri (Gümüş),4 lt,Tamamı orjinal,Sahibinden,625.000 TL,No
17 Eylül 2024,2013,109.000 km,Düz,Bordo,4 lt,"1 değişen, 2 boyalı",Galeriden,610.000 TL,No
17 Eylül 2024,2013,94.000 km,Düz,Bordo,4 lt,Tamamı orjinal,Sahibinden,625.000 TL,No
17 Eylül 2024,2017,270.000 km,Düz,Bordo,4 lt,Belirtilmemiş,Sahibinden,565.000 TL,No
17 Eylül 2024,2015,395.000 km,Düz,Mavi,5 lt,4 boyalı,Sahibinden,450.000 TL,No
17 Eylül 2024,2017,102.000 km,Düz,Gri (Gümüş),4 lt,Belirtilmemiş,Sahibinden,715.000 TL,No
17 Eylül 2024,2016,91.000 km,Düz,Mavi (metalik),4 lt,Belirtilmemiş,Galeriden,630.000 TL,No
16 Eylül 2024,2015,161.000 km,Düz,Siyah,4 lt,"6 değişen, 2 boyalı",Sahibinden,500.000 TL,No
16 Eylül 2024,2013,198.000 km,Düz,Kırmızı,,1 değişen,Galeriden,595.000 TL,No
15 Eylül 2024,2016,151.000 km,Düz,Kırmızı,,Belirtilmemiş,Sahibinden,645.000 TL,No
15 Eylül 2024,2016,108.000 km,Düz,Füme,,Belirtilmemiş,Sahibinden,700.000 TL,No
14 Eylül 2024,2016,58.000 km,Düz,Kırmızı,4 lt,"1 değişen, 1 boyalı",Sahibinden,675.000 TL,No
14 Eylül 2024,2015,83.000 km,Düz,Gri,4 lt,Belirtilmemiş,Galeriden,665.000 TL,No
14 Eylül 2024,2015,78.471 km,Düz,Siyah,5 lt,"1 değişen, 3 boyalı",Galeriden,649.900 TL,No
13 Eylül 2024,2016,113.900 km,Düz,Siyah,,"1 değişen, 1 boyalı",Sahibinden,635.000 TL,No
13 Eylül 2024,2016,105.000 km,Düz,Mavi,,Tamamı orjinal,Sahibinden,645.000 TL,No
13 Eylül 2024,2016,138.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Sahibinden,625.000 TL,No
13 Eylül 2024,2014,152.000 km,Düz,Bordo,,1 boyalı,Sahibinden,610.000 TL,No
13 Eylül 2024,2015,78.000 km,Düz,Mavi,,Belirtilmemiş,Galeriden,665.000 TL,No
12 Eylül 2024,2016,90.000 km,Düz,Siyah,,"3 değişen, 2 boyalı",Sahibinden,580.000 TL,No
12 Eylül 2024,2018,190.000 km,Düz,Beyaz,,Belirtilmemiş,Sahibinden,645.000 TL,No
12 Eylül 2024,2018,190.000 km,Düz,Beyaz,,Belirtilmemiş,Sahibinden,645.000 TL,No
12 Eylül 2024,2012,62.000 km,Düz,Kırmızı,4 lt,2 boyalı,Sahibinden,535.000 TL,No
12 Eylül 2024,2012,152.000 km,Düz,Kırmızı,5 lt,Tamamı orjinal,Galeriden,560.000 TL,No
11 Eylül 2024,2013,98.000 km,Düz,Siyah,4 lt,Tamamı orjinal,Sahibinden,620.000 TL,No
11 Eylül 2024,2015,76.000 km,Düz,Kırmızı,,Tamamı orjinal,Sahibinden,663.000 TL,No
11 Eylül 2024,2013,183.000 km,Düz,Mavi,,"1 değişen, 1 boyalı",Sahibinden,570.000 TL,No
11 Eylül 2024,2015,123.500 km,Düz,Mavi,"4,5 lt",2 boyalı,Sahibinden,635.000 TL,No
11 Eylül 2024,2015,192.000 km,Düz,Mavi (metalik),,5 boyalı,Galeriden,495.000 TL,No
11 Eylül 2024,2014,201.250 km,Düz,Mavi,,"2 değişen, 9 boyalı",Galeriden,500.000 TL,Evet
10 Eylül 2024,2016,155.000 km,Düz,Siyah,,Tamamı orjinal,Sahibinden,625.000 TL,No
10 Eylül 2024,2016,107.000 km,Düz,Mavi (metalik),4 lt,Belirtilmemiş,Sahibinden,640.000 TL,No
10 Eylül 2024,2012,252.000 km,Düz,Füme,"4,5 lt",6 boyalı,Sahibinden,429.000 TL,No
10 Eylül 2024,2017,73.000 km,Düz,Kırmızı,4 lt,"1 değişen, 1 boyalı",Sahibinden,610.000 TL,No
10 Eylül 2024,2016,27.000 km,Yarı Otomatik,Beyaz,"3,8 lt",1 değişen,Sahibinden,765.000 TL,No
10 Eylül 2024,2013,199.000 km,Düz,Kırmızı,,"3 değişen, 3 boyalı",Galeriden,484.750 TL,No
10 Eylül 2024,2015,156.000 km,Düz,Mavi (metalik),4 lt,Belirtilmemiş,Galeriden,590.000 TL,No
09 Eylül 2024,2017,100.000 km,Düz,Kırmızı,4 lt,2 boyalı,Sahibinden,735.000 TL,No
09 Eylül 2024,2016,53.508 km,Yarı Otomatik,Füme,"3,8 lt","1 değişen, 1 boyalı",Sahibinden,685.000 TL,No
09 Eylül 2024,2016,113.000 km,Düz,Siyah,4 lt,Tamamı orjinal,Sahibinden,605.000 TL,No
09 Eylül 2024,2013,140.000 km,Düz,Mavi,,Tamamı orjinal,Galeriden,627.500 TL,No
08 Eylül 2024,2016,168.000 km,Yarı Otomatik,Kırmızı,,2 boyalı,Sahibinden,635.000 TL,No
08 Eylül 2024,2014,200.000 km,Düz,Mavi,,"3 değişen, 1 boyalı",Sahibinden,525.000 TL,No
06 Eylül 2024,2012,178.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Sahibinden,530.000 TL,No
06 Eylül 2024,2016,170.000 km,Yarı Otomatik,Füme,,Belirtilmemiş,Sahibinden,645.000 TL,No
06 Eylül 2024,2018,105.000 km,Yarı Otomatik,Mavi,,Belirtilmemiş,Sahibinden,775.000 TL,No
05 Eylül 2024,2014,184.500 km,Düz,Bordo,,"1 değişen, 4 boyalı",Sahibinden,539.000 TL,No
05 Eylül 2024,2016,188.000 km,Düz,Gri (Gümüş),4 lt,Belirtilmemiş,Sahibinden,479.000 TL,No
04 Eylül 2024,2016,100.000 km,Yarı Otomatik,Kahverengi,"3,8 lt",Belirtilmemiş,Sahibinden,735.000 TL,No
04 Eylül 2024,2017,120.000 km,Yarı Otomatik,Mavi,,"2 değişen, 2 boyalı",Sahibinden,650.000 TL,No
04 Eylül 2024,2015,118.000 km,Düz,Gri,4 lt,Belirtilmemiş,Galeriden,631.500 TL,No
03 Eylül 2024,2017,63.700 km,Yarı Otomatik,Gri,,Belirtilmemiş,Sahibinden,785.000 TL,No
02 Eylül 2024,2017,96.000 km,Düz,Mavi,,Tamamı orjinal,Sahibinden,740.000 TL,No
02 Eylül 2024,2017,567.000 km,Düz,Kırmızı,,"1 değişen, 2 boyalı",Sahibinden,440.000 TL,No
02 Eylül 2024,2018,30.000 km,Yarı Otomatik,Kırmızı,,1 boyalı,Sahibinden,825.000 TL,No
01 Eylül 2024,2018,130.000 km,Yarı Otomatik,Gri (Gümüş),,Tamamı orjinal,Sahibinden,750.000 TL,No
31 Ağustos 2024,2016,135.000 km,Düz,Mavi,,"2 değişen, 3 boyalı",Sahibinden,630.000 TL,No
30 Ağustos 2024,2017,183.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Sahibinden,660.000 TL,No
29 Ağustos 2024,2013,261.000 km,Düz,Kırmızı,,Tamamı orjinal,Sahibinden,500.000 TL,No
29 Ağustos 2024,2013,140.000 km,Düz,Kırmızı,4 lt,"2 değişen, 4 boyalı",Sahibinden,490.000 TL,No
29 Ağustos 2024,2012,146.700 km,Düz,Füme,5 lt,1 değişen,Sahibinden,535.500 TL,No
29 Ağustos 2024,2012,133.900 km,Düz,Füme,5 lt,7 boyalı,Galeriden,555.000 TL,No
28 Ağustos 2024,2013,213.000 km,Düz,Beyaz,,Belirtilmemiş,Sahibinden,475.000 TL,No
28 Ağustos 2024,2014,166.000 km,Düz,Siyah,,"3 değişen, 3 boyalı",Sahibinden,540.000 TL,No
28 Ağustos 2024,2017,232.000 km,Düz,Siyah,,"1 değişen, 1 boyalı",Sahibinden,675.000 TL,No
27 Ağustos 2024,2016,113.500 km,Düz,Kırmızı,,Tamamı orjinal,Sahibinden,705.000 TL,No
27 Ağustos 2024,2014,84.000 km,Düz,Bordo,,Tamamı orjinal,Sahibinden,675.000 TL,No
27 Ağustos 2024,2017,110.000 km,Yarı Otomatik,Gri (Gümüş),,Tamamı orjinal,Sahibinden,710.000 TL,No
27 Ağustos 2024,2014,210.000 km,Düz,Beyaz,4 lt,"1 değişen, 2 boyalı",Sahibinden,440.000 TL,No
27 Ağustos 2024,2012,157.000 km,Düz,Gri,,Tamamı orjinal,Sahibinden,635.000 TL,No
26 Ağustos 2024,2016,235.000 km,Düz,Mavi (metalik),4 lt,Tamamı orjinal,Sahibinden,595.000 TL,No
26 Ağustos 2024,2012,210.000 km,Düz,Füme,5 lt,2 boyalı,Sahibinden,480.000 TL,No
26 Ağustos 2024,2010,144.750 km,Düz,Gri,"4,5 lt","1 değişen, 2 boyalı",Sahibinden,465.000 TL,No
26 Ağustos 2024,2015,108.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Sahibinden,640.000 TL,No
26 Ağustos 2024,2019,20.670 km,Yarı Otomatik,Kahverengi,"3,8 lt",Tamamı orjinal,Sahibinden,840.000 TL,No
26 Ağustos 2024,2017,125.000 km,Düz,Gri (Gümüş),,"2 değişen, 2 boyalı",Sahibinden,650.000 TL,No
26 Ağustos 2024,2013,189.000 km,Düz,Siyah,,"2 değişen, 1 boyalı",Sahibinden,515.000 TL,No
25 Ağustos 2024,2015,194.000 km,Düz,Mavi,,"2 değişen, 8 boyalı",Sahibinden,470.000 TL,No
25 Ağustos 2024,2011,117.500 km,Düz,Gri,"4,5 lt",Tamamı orjinal,Sahibinden,530.000 TL,No
25 Ağustos 2024,2018,20.000 km,Düz,Mavi,,Tamamı orjinal,Sahibinden,795.000 TL,No
24 Ağustos 2024,2013,105.000 km,Düz,Gri (Gümüş),4 lt,1 değişen,Sahibinden,645.000 TL,No
24 Ağustos 2024,2017,185.000 km,Düz,Beyaz,,Tamamı orjinal,Sahibinden,640.000 TL,No
23 Ağustos 2024,2014,79.962 km,Düz,Gri,,"2 değişen, 2 boyalı",Sahibinden,615.000 TL,No
23 Ağustos 2024,2015,105.000 km,Düz,Kırmızı,,Tamamı orjinal,Sahibinden,650.000 TL,No
23 Ağustos 2024,2014,39.500 km,Düz,Siyah,,2 boyalı,Sahibinden,660.000 TL,No
22 Ağustos 2024,2011,223.000 km,Düz,Füme,,"1 değişen, 2 boyalı",Sahibinden,459.999 TL,No
22 Ağustos 2024,2017,141.000 km,Düz,Mavi,4 lt,Tamamı orjinal,Sahibinden,674.000 TL,No
22 Ağustos 2024,2012,246.000 km,Düz,Kırmızı,,"1 değişen, 1 boyalı",Sahibinden,470.000 TL,No
22 Ağustos 2024,2016,120.000 km,Yarı Otomatik,Gri,,"1 değişen, 5 boyalı",Sahibinden,530.000 TL,Evet
22 Ağustos 2024,2012,192.000 km,Düz,Mavi (metalik),,Tamamı orjinal,Sahibinden,540.000 TL,No
22 Ağustos 2024,2013,165.000 km,Düz,Mavi,,Tamamı orjinal,Sahibinden,570.000 TL,No
22 Ağustos 2024,2015,800.000 km,Düz,Mavi,,Tamamı boyalı,Sahibinden,365.000 TL,No
21 Ağustos 2024,2015,275.000 km,Düz,Gri,,2 boyalı,Sahibinden,535.000 TL,No
21 Ağustos 2024,2014,128.500 km,Düz,Mavi (metalik),4 lt,"1 değişen, 4 boyalı",Sahibinden,585.000 TL,No
21 Ağustos 2024,2015,166.000 km,Düz,Mavi,,Belirtilmemiş,Sahibinden,605.000 TL,No
21 Ağustos 2024,2014,195.000 km,Düz,Gri (metalik),,Tamamı orjinal,Sahibinden,625.000 TL,No
21 Ağustos 2024,2016,289.000 km,Düz,Siyah,,Belirtilmemiş,Sahibinden,550.000 TL,No
21 Ağustos 2024,2016,107.000 km,Düz,Gri (metalik),,Belirtilmemiş,Sahibinden,670.000 TL,No
21 Ağustos 2024,2016,142.000 km,Düz,Gri,,"2 değişen, 2 boyalı",Sahibinden,620.000 TL,No
20 Ağustos 2024,2017,58.000 km,Yarı Otomatik,Füme,,2 değişen,Sahibinden,720.000 TL,No
20 Ağustos 2024,2018,106.500 km,Düz,Gri (Gümüş),,Tamamı orjinal,Sahibinden,720.000 TL,No
20 Ağustos 2024,2018,72.000 km,Düz,Füme,,Belirtilmemiş,Sahibinden,680.000 TL,No
19 Ağustos 2024,2015,98.000 km,Düz,Siyah,,Belirtilmemiş,Sahibinden,570.000 TL,No
19 Ağustos 2024,2018,224.000 km,Düz,Beyaz,,"1 değişen, 1 boyalı",Sahibinden,595.000 TL,No
19 Ağustos 2024,2011,262.000 km,Düz,Gri (Gümüş),,Tamamı orjinal,Sahibinden,450.000 TL,No
19 Ağustos 2024,2011,183.000 km,Düz,Füme,"4,5 lt",2 boyalı,Sahibinden,493.000 TL,No
17 Ağustos 2024,2015,105.000 km,Düz,Siyah,,3 boyalı,Sahibinden,575.000 TL,No
16 Ağustos 2024,2012,139.000 km,Düz,Bordo,,Belirtilmemiş,Sahibinden,590.000 TL,No
16 Ağustos 2024,2014,157.000 km,Düz,Siyah,4 lt,2 değişen,Sahibinden,575.000 TL,No
15 Ağustos 2024,2016,101.000 km,Yarı Otomatik,Füme,,1 değişen,Sahibinden,698.000 TL,No
15 Ağustos 2024,2018,90.000 km,Düz,Füme,4 lt,1 değişen,Sahibinden,695.000 TL,No
15 Ağustos 2024,2016,135.000 km,Yarı Otomatik,Siyah,,Belirtilmemiş,Sahibinden,750.000 TL,No
15 Ağustos 2024,2016,89.300 km,Düz,Füme,,2 boyalı,Sahibinden,648.000 TL,No
15 Ağustos 2024,2011,117.000 km,Düz,Kırmızı,,"1 değişen, 2 boyalı",Sahibinden,520.000 TL,No
15 Ağustos 2024,2017,237.000 km,Düz,Siyah,,"2 değişen, 1 boyalı",Sahibinden,430.000 TL,No
15 Ağustos 2024,2012,199.000 km,Düz,Füme,"4,5 lt",12 boyalı,Sahibinden,380.000 TL,No
14 Ağustos 2024,2012,189.500 km,Düz,Gri (Gümüş),,"1 değişen, 3 boyalı",Sahibinden,530.000 TL,No
14 Ağustos 2024,2014,190.000 km,Düz,Mavi,,Belirtilmemiş,Sahibinden,370.000 TL,Evet
14 Ağustos 2024,2019,200.000 km,Düz,Beyaz,4 lt,1 değişen,Sahibinden,685.000 TL,No
13 Ağustos 2024,2012,165.000 km,Düz,Füme,5 lt,2 boyalı,Sahibinden,548.000 TL,No
13 Ağustos 2024,2015,142.000 km,Düz,Bordo,,Tamamı orjinal,Sahibinden,695.000 TL,No
13 Ağustos 2024,2017,147.500 km,Düz,Siyah,,3 boyalı,Sahibinden,725.000 TL,No
12 Ağustos 2024,2017,164.000 km,Düz,Kırmızı,,3 değişen,Sahibinden,480.000 TL,Evet
12 Ağustos 2024,2015,475.000 km,Düz,Kırmızı,4 lt,Tamamı boyalı,Sahibinden,405.000 TL,No
11 Ağustos 2024,2012,185.000 km,Düz,Füme,,"2 değişen, 1 boyalı",Sahibinden,530.000 TL,No
11 Ağustos 2024,2013,157.800 km,Düz,Kırmızı,5 lt,3 boyalı,Sahibinden,569.000 TL,No
09 Ağustos 2024,2016,99.000 km,Düz,Gri (Gümüş),,3 değişen,Sahibinden,585.000 TL,No
09 Ağustos 2024,2015,30.000 km,Düz,Mavi,,Tamamı orjinal,Sahibinden,675.000 TL,No
08 Ağustos 2024,2015,540.000 km,Düz,Siyah,,Belirtilmemiş,Sahibinden,370.000 TL,No
12 Ekim 2024,2017,38.000 km,Düz,Beyaz,4 lt,Tamamı orjinal,Sahibinden,850.000 TL,No
12 Ekim 2024,2017,144.000 km,Yarı Otomatik,Kahverengi,"3,8 lt",Belirtilmemiş,Galeriden,744.500 TL,No
12 Ekim 2024,2017,53.000 km,Yarı Otomatik,Beyaz,"3,8 lt",Tamamı orjinal,Sahibinden,802.000 TL,No
12 Ekim 2024,2017,111.000 km,Otomatik,Gri,,Tamamı orjinal,Galeriden,719.500 TL,No
12 Ekim 2024,2016,128.800 km,Düz,Füme,4 lt,1 boyalı,Sahibinden,650.000 TL,No
12 Ekim 2024,2017,45.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,785.000 TL,No
12 Ekim 2024,2016,179.000 km,Düz,Gri (Gümüş),4 lt,1 boyalı,Sahibinden,615.000 TL,No
12 Ekim 2024,2016,235.000 km,Düz,Mavi,4 lt,"1 değişen, 2 boyalı",Sahibinden,582.000 TL,No
12 Ekim 2024,2016,170.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Sahibinden,410.000 TL,No
12 Ekim 2024,2012,136.000 km,Düz,Kırmızı,5 lt,Belirtilmemiş,Sahibinden,595.000 TL,No
12 Ekim 2024,2016,95.300 km,Yarı Otomatik,Füme,"3,8 lt",2 değişen,Sahibinden,740.000 TL,No
